,time,RH_parcel,q_parcel,T_parcel,z_parcel,qa_ts,qc_ts,qr_ts,na_ts,nc_ts,nr_ts
0,0.0,0.9899272818542983,14.606798001151072,293.20082727137026,0.0,9.859670302849755e-05,0.00023383341577124195,0.0,1967.5593436310644,9.753448683474438,0.0
1,0.5,0.9900789477462977,14.606807552236091,293.1983632044413,0.25,9.561713640582887e-05,0.00022726189737380363,0.0,1968.0071571324158,9.305635182123625,0.0
2,1.0,0.9902305464855325,14.606816677090018,293.19590019821277,0.5,9.277785766708598e-05,0.00022097632218639698,0.0,1968.436120433528,8.876671881011434,0.0
3,1.5,0.9903820823894589,14.606825395630748,293.19343820311786,0.75,8.83452652716717e-05,0.00021669037385078487,0.0,1968.436120433528,8.876671881011434,0.0
4,2.0,0.9905335596199327,14.606833727052038,293.19097717139186,1.0,8.582654589131977e-05,0.00021087767194199667,0.0,1968.8468954650593,8.465896849480124,0.0
5,2.5,0.9906849821523553,14.606841689683145,293.18851705742134,1.25,8.34292448218774e-05,0.00020531234190259413,0.0,1969.2401282087335,8.072664105805814,0.0
6,3.0,0.9908363537718314,14.606849300972051,293.186057817786,1.5,8.11483803051741e-05,0.00019998191751496665,0.0,1969.61644872124,7.6963435932993765,0.0
7,3.5,0.9909876780808871,14.606856577521423,293.1835994111691,1.75,7.746604037338136e-05,0.0001963877080744463,0.0,1969.61644872124,7.6963435932993765,0.0
8,4.0,0.9911389585071603,14.606863535124434,293.18114179826847,2.0,7.544865033034741e-05,0.00019144749510571988,0.0,1969.976471178735,7.336321135803907,0.0
9,4.5,0.9912901983026364,14.60687018876197,293.17868494180334,2.25,7.353136912135638e-05,0.0001867111387776698,0.0,1970.3207939409835,6.99199837355581,0.0
10,5.0,0.9914414005659246,14.606876552704946,293.1762288062597,2.5,7.170996713951896e-05,0.00018216859778363235,0.0,1970.649999634165,6.662792680374329,0.0
11,5.5,0.9915925682488066,14.606882640544796,293.17377335781447,2.75,6.864179748118487e-05,0.00017914892759234423,0.0,1970.649999634165,6.662792680374329,0.0
12,6.0,0.9917437041568795,14.606888465196997,293.1713185643268,3.0,6.703616726046276e-05,0.0001749299056109053,0.0,1970.9646552513993,6.348137063140115,0.0
13,6.5,0.9918948109564492,14.606894038933026,293.1688643952583,3.25,6.425289825161357e-05,0.00017213943859161905,0.0,1970.9646552513993,6.348137063140115,0.0
14,7.0,0.9920458911811375,14.606899373411089,293.16641082159697,3.5,6.284041147625231e-05,0.00016821744730209583,0.0,1971.2653122700222,6.047480044517158,0.0
15,7.5,0.9921969472382552,14.60690447970566,293.1639578157833,3.75,6.150149748083767e-05,0.00016445006672705366,0.0,1971.5525067846754,5.760285529863906,0.0
16,8.0,0.9923479814148977,14.606909368335765,293.16150535164013,4.0,5.9073348501825964e-05,0.00016198958560128762,0.0,1971.5525067846754,5.760285529863906,0.0
17,8.5,0.9924989958837914,14.606914049292094,293.15905340430504,4.25,5.789960355705678e-05,0.00015848237421938008,0.0,1971.8267596552696,5.486032659269256,0.0
18,9.0,0.99264999270888,14.60691853206291,293.15660195016596,4.5,5.569072289139209e-05,0.00015620848406913416,0.0,1971.82675965527,5.486032659269257,0.0
19,9.5,0.9928009738506779,14.606922825658836,293.1541509667994,4.75,5.466482345298969e-05,0.00015294078758101826,0.0,1972.0885766689023,5.224215645637051,0.0
20,10.0,0.9929519411613132,14.606926938590698,293.1517004330257,5.0,5.3695477234454666e-05,0.00014979720193837674,0.0,1972.3384487148105,4.974343599729108,0.0
21,10.5,0.9931028964065555,14.606930878970273,293.14925032865824,5.25,5.175952049301892e-05,0.0001477927791043748,0.0,1972.3384487148103,4.9743435997291074,0.0
22,11.0,0.9932538412658489,14.60693465451079,293.1468006345022,5.5,5.0916846951641604e-05,0.00014485991212910226,0.0,1972.576851971478,4.7359403430615945,0.0
