,time,RH_parcel,q_parcel,T_parcel,z_parcel,qa_ts,qc_ts,qr_ts,na_ts,nc_ts,nr_ts
0,0.0,0.8797110652290601,0.012948924821758767,293.20355742406724,0.0,1.4672923294132215e-07,1.2827834370231278e-06,0.0,2082533953.2443163,78560275.09977849,0.0
1,0.5,0.8798442936414612,0.012948926347329894,293.20111332908874,0.25,1.4665660255526085e-07,1.2813304962830962e-06,0.0,2082533953.244315,78560275.09977847,0.0
2,1.0,0.8799775239354307,0.012948927769963873,293.1986694902752,0.5,1.4658753668173508e-07,1.279976928177314e-06,0.0,2082533953.244319,78560275.09977846,0.0
3,1.5,0.8801107569168258,0.012948929093675931,293.1962258976346,0.75,1.4652197076726144e-07,1.2787187820337162e-06,0.0,2082533953.2443175,78560275.09977847,0.0
4,2.0,0.8802439933517324,0.012948930322281988,293.19378254167066,1.0,1.4645984194660215e-07,1.2775523047970608e-06,0.0,2082533953.2443173,78560275.09977852,0.0
5,2.5,0.880377233968904,0.012948931459410902,293.19133941335286,1.25,1.464010889878829e-07,1.2764739288422039e-06,0.0,2082533953.2443168,78560275.09977847,0.0
6,3.0,0.8805104794620278,0.012948932508515792,293.1888965040879,1.5,1.4634565223990224e-07,1.2754802607004853e-06,0.0,2082533953.2443173,78560275.09977849,0.0
7,3.5,0.880643730491815,0.012948933472884531,293.18645380569365,1.75,1.4629347358152715e-07,1.274568070618859e-06,0.0,2082533953.2443173,78560275.09977847,0.0
8,4.0,0.880776987687937,0.012948934355649479,293.1840113103751,2.0,1.462444963730777e-07,1.2737342828794909e-06,0.0,2082533953.2443168,78560275.0997785,0.0
9,4.5,0.8809102516508397,0.012948935159796508,293.18156901070176,2.25,1.4619866540960827e-07,1.2729759668146894e-06,0.0,2082533953.244317,78560275.09977849,0.0
10,5.0,0.8810435229534028,0.012948935888173398,293.1791268995868,2.5,1.4615592687599774e-07,1.2722903284584413e-06,0.0,2082533953.2443159,78560275.09977846,0.0
11,5.5,0.8811768021425156,0.012948936543497647,293.17668497026744,2.75,1.4611622830376713e-07,1.271674702781458e-06,0.0,2082533953.2443173,78560275.09977847,0.0
12,6.0,0.8813100897405122,0.012948937128363742,293.17424321628727,3.0,1.4607951852954313e-07,1.2711265464617333e-06,0.0,2082533953.2443178,78560275.0997785,0.0
13,6.5,0.8814433862465333,0.01294893764524993,293.17180163147896,3.25,1.4604574765509803e-07,1.270643431147094e-06,0.0,2082533953.2443175,78560275.09977847,0.0
14,7.0,0.8815766921377836,0.012948938096524554,293.16936020994876,3.5,1.46014867008892e-07,1.2702230371703103e-06,0.0,2082533953.244317,78560275.09977847,0.0
15,7.5,0.8817100078707081,0.012948938484451944,293.1669189460618,3.75,1.524910761639985e-07,1.2633589006259627e-06,0.0,2084087038.15433,77007190.1897663,0.0
16,8.0,0.8818433338820991,0.012948938811197946,293.1644778344282,4.0,1.5246446442275803e-07,1.2630587663660793e-06,0.0,2084087038.1543286,77007190.18976629,0.0
17,8.5,0.8819766705901211,0.012948939078835082,293.16203686989047,4.25,1.524407716838134e-07,1.2628148219691627e-06,0.0,2084087038.1543288,77007190.18976626,0.0
18,9.0,0.8821100183952816,0.012948939289347388,293.1595960475111,4.5,1.524199504844135e-07,1.2626251308626182e-06,0.0,2084087038.1543295,77007190.18976629,0.0
19,9.5,0.8822433776813288,0.012948939444634943,293.1571553625617,4.75,1.524019545073188e-07,1.2624878392845004e-06,0.0,2084087038.1543293,77007190.1897663,0.0
20,10.0,0.8823767488161008,0.01294893954651812,293.15471481051213,5.0,1.5238673854710025e-07,1.262401172067218e-06,0.0,2084087038.1543295,77007190.18976629,0.0
21,10.5,0.8825101321523245,0.012948939596741576,293.1522743870207,5.25,1.5237425847766038e-07,1.262363428680672e-06,0.0,2084087038.1543295,77007190.18976627,0.0
22,11.0,0.8826435280283583,0.012948939596977998,293.14983408792494,5.5,1.523644712209189e-07,1.262372979515969e-06,0.0,2084087038.154328,77007190.18976627,0.0
23,11.5,0.8827769367689009,0.012948939548831626,293.1473939092325,5.75,1.5235733471661723e-07,1.262428262392411e-06,0.0,2084087038.1543293,77007190.18976626,0.0
24,12.0,0.8829103586856483,0.01294893945384157,293.14495384711324,6.0,1.5235280789319609e-07,1.2625277792718894e-06,0.0,2084087038.154328,77007190.18976629,0.0
25,12.5,0.883043794077917,0.012948939313484929,293.1425138978913,6.25,1.5235085063969675e-07,1.2626700931661095e-06,0.0,2084087038.1543288,77007190.1897663,0.0
26,13.0,0.8831772432332301,0.012948939129179732,293.1400740580379,6.5,1.5235142377864876e-07,1.262853825223255e-06,0.0,2084087038.1543293,77007190.18976629,0.0
27,13.5,0.8833107064278736,0.012948938902287713,293.1376343241642,6.75,1.5235448903989707e-07,1.263077651981759e-06,0.0,2084087038.154328,77007190.18976627,0.0
28,14.0,0.8834441839274134,0.01294893863411692,293.1351946930151,7.0,1.52360009035338e-07,1.2633403027798365e-06,0.0,2084087038.154331,77007190.18976629,0.0
29,14.5,0.8835776759871892,0.01294893832592419,293.13275516146285,7.25,1.523679472345189e-07,1.2636405573103183e-06,0.0,2084087038.154329,77007190.18976629,0.0
30,15.0,0.8837111828527812,0.012948937978917482,293.13031572650146,7.5,1.5237826794107386e-07,1.2639772433111176e-06,0.0,2084087038.1543295,77007190.18976629,0.0
31,15.5,0.8838447047604541,0.012948937594258083,293.12787638524094,7.75,1.5239093626995425e-07,1.2643492343824362e-06,0.0,2084087038.154329,77007190.1897663,0.0
32,16.0,0.8839782419375642,0.012948937173062686,293.1254371349023,8.0,1.5240591812543114e-07,1.2647554479224549e-06,0.0,2084087038.1543293,77007190.18976629,0.0
33,16.5,0.8841117946029582,0.01294893671640538,293.1229979728127,8.25,1.524231801798305e-07,1.2651948431738974e-06,0.0,2084087038.154331,77007190.18976627,0.0
34,17.0,0.8842453629673466,0.012948936225319507,293.12055889640055,8.5,1.524426898529779e-07,1.265666419374411e-06,0.0,2084087038.1543288,77007190.18976629,0.0
35,17.5,0.8843789472336567,0.012948935700799438,293.1181199031913,8.75,1.5246441529232304e-07,1.2661692140042233e-06,0.0,2084087038.1543298,77007190.18976627,0.0
36,18.0,0.884512547597367,0.012948935143802255,293.11568099080324,9.0,1.45981572601844e-07,1.273209053876896e-06,0.0,2082533953.2443159,78560275.09977847,0.0
37,18.5,0.8846461642468267,0.012948934555249347,293.1132421569434,9.25,1.4600608003601302e-07,1.2737730993512435e-06,0.0,2082533953.2443163,78560275.09977847,0.0
38,19.0,0.8847797973635557,0.012948933936027916,293.1108033994039,9.5,1.4603259851105195e-07,1.2743658023069373e-06,0.0,2082533953.2443166,78560275.09977847,0.0
39,19.5,0.8849134471225294,0.012948933286992422,293.1083647160584,9.75,1.460611008288839e-07,1.2749863354835166e-06,0.0,2082533953.2443163,78560275.09977849,0.0
40,20.0,0.8850471136924577,0.012948932608965942,293.10592610485867,10.0,1.460915603817136e-07,1.2756339024103422e-06,0.0,2082533953.2443168,78560275.09977847,0.0
41,20.5,0.8851807972360383,0.012948931902741474,293.1034875638312,10.25,1.4612395113705387e-07,1.2763077361234405e-06,0.0,2082533953.2443173,78560275.0997785,0.0
42,21.0,0.885314497910202,0.012948931169083166,293.10104909107446,10.5,1.46158247623228e-07,1.277007097945294e-06,0.0,2082533953.2443168,78560275.09977849,0.0
43,21.5,0.8854482158663532,0.012948930408727495,293.0986106847556,10.75,1.4619442491532106e-07,1.2777312763239196e-06,0.0,2082533953.2443173,78560275.09977847,0.0
44,22.0,0.885581951250589,0.012948929622384385,293.096172343108,11.0,1.462324586215689e-07,1.2784795857278386e-06,0.0,2082533953.2443178,78560275.09977849,0.0
45,22.5,0.8857157042039102,0.01294892881073827,293.0937340644283,11.25,1.4627232487016985e-07,1.2792513655937672e-06,0.0,2082533953.2443168,78560275.09977847,0.0
46,23.0,0.8858494748624256,0.012948927974449114,293.09129584707426,11.5,1.4631400029649967e-07,1.2800459793240384e-06,0.0,2082533953.244317,78560275.0997785,0.0
47,23.5,0.8859832633575467,0.012948927114153373,293.088857689462,11.75,1.4635746203071754e-07,1.2808628133310188e-06,0.0,2082533953.244318,78560275.09977847,0.0
48,24.0,0.8861170698161703,0.012948926230464923,293.08641959006377,12.0,1.464026876857497e-07,1.2817012761258923e-06,0.0,2082533953.2443175,78560275.0997785,0.0
